abreviation,designation
ach,ancien chemin
arc,arcade
art,ancienne route
aut,autoroute
av,avenue
bch,bas chemin
bcle,boucle
bd,boulevard
ber,berge
bvd,boulevard
car,carrefour
carr,carre
cau,carreau
cav,cavee
che,chemin
chem,cheminement
chi,charmille
chs,chaussee
chv,chemin vicinal
cote,coteau
crs,cours
ctre,centre
deg,degre
dig,digue
dom,domaine
dsc,descente
esc,escalier
esp,esplanade
espa,espace
fbg,faubourg
fg,faubourg
form,forum
fos,fosse
gbd,grand boulevard
gden,grands ensembles
gr,grande rue
grim,grimpette
hch,haut chemin
hle,halle
imp,impasse
jard,jardin
jte,jetee
leve,levee
lot,lotissement
mar,marche
mte,montee
nte,nouvelle route
pae,petite avenue
pas,passage
pass,passe
pch,petit chemin
pdeg,petit degre
peri,peripherique
pim,petite impasse
pl,place
plci,placis
pot,poterne
pour,pourtour
prom,promenade
prt,petite route
prv,parvis
psty,peristyle
pta,petite allee
ptr,petite rue
ptte,placette
qrt,quartier
qu,quai
qua,quartier
r,rue
rac,raccourci
raid,raidillon
rem,rempart
res,residence
rle,ruelle
roc,rocade
roqt,roquet
rpe,rampe
rpt,rond point
rtd,rotonde
rte,route
rtte,ruette
sen,sentier
sq,square
tpl,terre plein
tra,traverse
trt,tertre
tsse,terrasse
vc,voie communale
vche,vieux chemin
ven,venelle
voi,voie
vte,vieille route
