abreviation,designation
a,avenue 
aerd,aérodrome 
aerg,aérogare 
all,allée 
ave,avenue 
balc,balcon 
barr,barrière 
bass,bassin 
bld,boulevard 
brd,boulevard 
brg,barrage 
butt,butte 
cas,caserne 
ccal,centre commercial 
cd,chemin départemental 
ch,chemin 
chal,chalet 
chat,chateau 
chau,chaussée 
chp,champ 
clim,climat 
clr,clairiere 
cont,contour 
cott,cottage 
cr,cour 
ecl,écluse 
etg,étang 
fb,faubourg 
ferm,ferme 
font,fontaine 
foss,fosse 
frt,forêt 
gal,galerie 
gdav,grande avenue 
gdpl,grande place 
gdr,grande rue 
grge,grange 
ham,hameau 
hipp,hippodrome 
imm,immeuble 
ld,lieu-dit 
ldt,lieu-dit 
mais,maison 
marc,marche 
mch,marché 
metr,métro 
mnt,montée 
pal,palais 
parv,parvis 
pav,pavillon 
pce,place 
pel,pelouse 
piec,pièce 
pk,point kilométrique
pkg,parking 
plai,plaine 
pnte,pointe 
port,port 
prai,prairie 
pro,promenade 
prte,porte 
quar,quartier 
rce,résidence 
rd,route départementale
rd pt,rond-point 
rdpt,rond-point 
rn,route nationale
ruel,ruelle 
ruet,ruette 
sent,sentier 
sente,sentier 
snte,sentier 
sqr,square 
squ,square 
st,station 
terr,terrasse 
tr,tour 
trav,traverse 
val,val 
vall,vallée 
vge,village 
vla,villa 
voie com,voie communale
z a,zone artisanale
za,zone artisanale
zac,zone d'aménagement concerté
zi,zone industrielle
